269913,"AIC Adelaide                  ","20623   ",2020-04-27 00:00:00.000,AFC,NULL,-1,1,"P1                  "
269914,"AIC Adelaide                  ","21287   ",2020-04-27 00:00:00.000,AFC,NULL,-1,1,"P1                  "
269915,"AIC Adelaide                  ","20995   ",2020-04-27 00:00:00.000,AFC,NULL,-1,1,"P1                  "
269916,"AIC Adelaide                  ","20371   ",2020-04-27 00:00:00.000,AFC,NULL,-1,1,"P1                  "
269917,"AIC Adelaide                  ","20659   ",2020-04-27 00:00:00.000,AFC,NULL,-1,1,"P1                  "
269918,"AIC Adelaide                  ","20801   ",2020-04-27 00:00:00.000,AFC,NULL,-1,1,"P1                  "
269919,"AIC Adelaide                  ","20772   ",2020-04-27 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277782,"AIC Adelaide                  ","20475   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277783,"AIC Adelaide                  ","20474   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277784,"AIC Adelaide                  ","20591   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277785,"AIC Adelaide                  ","20470   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277786,"AIC Adelaide                  ","20373   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277787,"AIC Adelaide                  ","20630   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277788,"AIC Adelaide                  ","21205   ",2020-04-30 00:00:00.000,AFC,[Parent 18918 acknowledged in Parent Lounge 25/6/2020 09:30:38 and added comment: We have informed the school and class educator that he will not be attending as Ramadan timing wasn't suitable for our family.],-1,1,"P1                  "
277789,"AIC Adelaide                  ","20567   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277790,"AIC Adelaide                  ","21036   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277791,"AIC Adelaide                  ","20710   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277792,"AIC Adelaide                  ","21109   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
277793,"AIC Adelaide                  ","20419   ",2020-04-30 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274170,"AIC Adelaide                  ","20475   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274171,"AIC Adelaide                  ","20474   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274172,"AIC Adelaide                  ","20591   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274173,"AIC Adelaide                  ","20470   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274174,"AIC Adelaide                  ","20373   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274175,"AIC Adelaide                  ","20630   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274176,"AIC Adelaide                  ","21205   ",2020-04-29 00:00:00.000,AFC,[Parent 18918 acknowledged in Parent Lounge 25/6/2020 09:30:48 and added comment: We have informed the school and class educator that he will not be attending as Ramadan timing wasn't suitable for our family.],-1,1,"P1                  "
274177,"AIC Adelaide                  ","20567   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274179,"AIC Adelaide                  ","20710   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274180,"AIC Adelaide                  ","21109   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
274181,"AIC Adelaide                  ","20419   ",2020-04-29 00:00:00.000,AFC,NULL,-1,1,"P1                  "
270452,"AIC Adelaide                  ","20623   ",2020-04-28 00:00:00.000,AFC,NULL,-1,1,"P1                  "
270453,"AIC Adelaide                  ","21287   ",2020-04-28 00:00:00.000,AFC,NULL,-1,1,"P1                  "
270454,"AIC Adelaide                  ","20995   ",2020-04-28 00:00:00.000,AFC,NULL,-1,1,"P1                  "
270456,"AIC Adelaide                  ","20371   ",2020-04-28 00:00:00.000,AFC,NULL,-1,1,"P1                  "
270457,"AIC Adelaide                  ","20659   ",2020-04-28 00:00:00.000,AFC,NULL,-1,1,"P1                  "
270458,"AIC Adelaide                  ","20801   ",2020-04-28 00:00:00.000,AFC,NULL,-1,1,"P1                  "
270459,"AIC Adelaide                  ","20772   ",2020-04-28 00:00:00.000,AFC,NULL,-1,1,"P1                  "
270460,"AIC Adelaide                  ","21145   ",2020-04-28 00:00:00.000,AFC,NULL,-1,1,"P1                  "
269775,"AIC Adelaide                  ","20324   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
269776,"AIC Adelaide                  ","19385   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
269774,"AIC Adelaide                  ","20176   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
269779,"AIC Adelaide                  ","20039   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
269781,"AIC Adelaide                  ","20476   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
269782,"AIC Adelaide                  ","19390   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
